Tolerance,Jacobi-It,Sor-It,Jacobi-Err,Sor-Err
0.01,73,88,346.368,1.0406
0.001,235,120,250.589,0.120429
0.0001,1405,149,35.8429,0.0125919
0.00001,2783,160,3.54093,0.0079964
0.000001,4151,216,0.354693,0.000230131
0.0000001,5521,249,0.0354015,3.28367e-05
0.00000001,6889,290,0.00354522,3.35363e-06
0.000000001,8259,313,0.000353837,7.01256e-07
0.0000000001,9627,348,3.54343e-05,6.68926e-08
0.00000000001,10997,391,3.53658e-06,3.79552e-09
